state,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002
ND,3759180.343,3004975.981,4196624.599,4790159.686,4000339.885,1897740.266,4188323.476,5605448.484,3775759.834,2713427.523,10243189.43,6528020.985,2241546.773,4846328.262,2035907.102,4734579.175,2192187.932,4163113.642,2777271.112,3474863.129,2154301.565,951663.7451,3000142.869,5283977.62,6593249.029,7457658.054,3442080.777,1958977.926
NE,9079640.332,7216587.107,10055083.32,11501984.63,9603227.339,4564183.426,10024687.35,13254046.96,8839982.199,6334571.331,23977094.66,15350402.77,5311295.062,11621445.34,4960581.484,11741765.86,5498815.865,10498449.51,7026319.967,8807443.677,5490764.478,2439131.863,7751620.804,13758814.69,17334901.18,19907516.59,9263286.558,5305320.665
NH,5501141.14,2033944.462,813473.9041,2081203.071,2663833.072,1534171.719,3095202.175,4511640.493,2588482.696,4101366.735,6257901.755,3912836.875,5399151.241,2776745.76,3596191.604,443504.6109,897461.5279,1912135.424,5703033.509,3897850.918,1481675.947,209002.8446,8949755.963,3941122.319,1184190.86,19703651.35,3469613.086,9080217.187
NJ,48718649.84,17661838.53,6862324.002,17160036.63,21585875.62,12273278.76,24479083.26,35375312.86,21647605.71,27496545.56,36274644.02,25887543.44,26535433.41,38892515.88,12281494.54,13473964,12500273.91,36165613.57,15975845.38,23816949.66,27531721.16,9842364.853,20617906.35,14735912.87,25194910.18,9565959.459,41204067.87,17481574.97
NM,4078959.474,7542803.641,8726166.581,5939523.367,7470259.445,5016020.808,11412268.62,19631896.85,11012953.64,10336457.25,18165460.52,11246600.22,10977915.37,17923218.08,10241102.96,7792783.76,4834160.687,8323756.097,1744330.609,4940862.612,12264691.17,1377008.776,8469368.484,16282090.43,15267461.22,12855235.87,12117576.77,21498849.25
NV,2180140.302,4103275.794,4868922.742,3451526.317,4450371.412,3081823.651,7258436.37,12689508.43,7124002.236,6748289.681,12010821.98,7539716.778,7598500.606,12928521.36,7745221.369,6247980.852,4015292.24,7007036.088,1490782.535,4352317.668,11122797.56,1288491.736,8236573.038,16378240.64,15876538.36,14249579.79,13881994.75,25189337.74
NY,119533056.9,43170837.46,16659810.65,41274336.09,51525408.49,29260053.11,58055166.9,83736396.78,51270777.84,64925389.07,85306216.34,60568588.13,61813788.84,90476208.06,28586154.32,31270449.84,28952505.16,83542028.18,36802556.08,54608815.12,62736155.36,22295422.19,46444772.96,33054244,56298481.24,21560719.8,92584600.54,39117602.06
OH,63372761.25,50033510.6,69568565.17,79398859.97,66161934.18,31393539.97,68513530.31,90135756.08,73024546.62,65146530.3,33295138.54,71147626.26,19775607.32,22977084.46,26722489.75,48931082.35,27863954.15,14449447.89,39528652.9,26917316.05,33864640.8,59190030.02,35848177.62,36075728.57,80758032.62,58706680.81,82448963.51,28331604.33
OK,16870054.9,20876057.05,13805001.74,16932242.5,22755111.97,51457919.65,29246965.92,35120322.13,24910138.01,25846565.06,16894962.29,19180026.79,12634755.36,10266345.15,19700460.7,4228083.414,8169467.532,9938279.574,9513366.376,12533306.98,8376868.335,3451178.827,10385541.59,18702016.72,41410952.19,40357291.26,25985878.57,28109834.24
OR,8192285.84,15083527.02,17561672.23,12081647.04,15048486.04,10137209.53,22845824.75,38360897.13,12668925.17,7698673.656,13193083.19,23225948.54,7953937.505,17360925.9,9178057.56,16164813.66,10646264.54,7160490.023,2486388.692,10865619.07,15738905.77,8218856.484,12148177.77,11506228.5,23661137.92,14483159.02,14824283.14,14555625.48
